Animal,MPTP,FName1,FName2,DateCollected,Depth,A_P,M_L,Depth_acx,A_P_acx,M_L_acx,UnitNum1,UnitNum2,Antidrom,Latency,Threshold,LAT2,Thresh2,SENSORY,SENS_DETAIL,ntrials1_1,ntrials1_2,StimData,Microstim_Effect,Microstim_Threshold
L,Post,l15001,,14-Sep-1993,22.24,-4,-2,19.1881587487843,-10.2,16.1597316240381,1,,PED,1.5,NaN,NaN,NaN,finger,"ext",31,31,,finger ext,17
L,Post,l15601,,19-Nov-1993,22.73,-3.9,-3,19.5487832071894,-10.1,15.1061425200701,1,,STN,2,50,NaN,NaN,hand / finger,"cutaneous & finger ext",30,30,STN,finger flex,17
L,Post,l15602,,19-Nov-1993,22.93,-3.9,-3,19.4073618509521,-10.1,14.9647211638328,1,,PED,1,170,NaN,NaN,NT,"",18,19,Ped,NT,nan
L,Post,l15602,,19-Nov-1993,22.93,-3.9,-3,19.4073618509521,-10.1,14.9647211638328,2,,NR,NaN,NaN,NaN,NaN,NT,"",18,19,,NT,nan
L,Post,l15701,,21-Nov-1993,22.45,-3.9,-3,19.7467731059216,-10.1,15.3041324188024,1,,NR,NaN,NaN,NaN,NaN,finger,"ext",30,30,,finger flex,18
L,Post,l15701,,21-Nov-1993,22.45,-3.9,-3,19.7467731059216,-10.1,15.3041324188024,2,,PED,1.5,440,NaN,NaN,finger,"ext",30,30,Ped,finger flex,18
L,Post,l15702,,21-Nov-1993,23.6,-3.9,-3,18.9336003075571,-10.1,14.4909596204378,1,,PED,2.5,520,NaN,NaN,NT,"",30,32,Ped,finger flex,5
L,Post,l15702,,21-Nov-1993,23.6,-3.9,-3,18.9336003075571,-10.1,14.4909596204378,2,,NR,NaN,NaN,NaN,NaN,finger / wrist,"thumb flex/ext & wrist flex",30,32,,finger flex,5
L,Post,l15703,,21-Nov-1993,24.55,-3.9,-3,18.2618488654299,-10.1,13.8192081783106,1,,NR,NaN,NaN,NaN,NaN,wrist,"pronation",30,30,,finger flex,18
L,Post,l15703,,21-Nov-1993,24.55,-3.9,-3,18.2618488654299,-10.1,13.8192081783106,2,,STRI,NaN,NaN,NaN,NaN,,"",30,30,Str,finger flex,18
L,Post,l15801,,22-Nov-1993,23.7,-3.9,-3,18.8628896294385,-10.1,14.4202489423192,1,,STN,1.5,240,NaN,NaN,finger,"index cutaneous ""light touch""",30,30,STN,NT,nan
L,Post,l15801,,22-Nov-1993,23.7,-3.9,-3,18.8628896294385,-10.1,14.4202489423192,2,,NR,NaN,NaN,NaN,NaN,NT,"",30,30,,NT,nan
L,Post,l15901,,23-Nov-1993,23.8,-3.9,-4,19.4992857325064,-10.1,13.642431483014,1,,STRI,9.5,660,NaN,NaN,,"NR",30,31,Str,finger flex,5
L,Post,l16001,,23-Nov-1993,23.9,-3.9,-4,19.4285750543877,-10.1,13.5717208048953,1,,STRI,11,330,NaN,NaN,NR,"",30,30,Str,index abduction & thumb adduction,5
L,Post,l16001,,23-Nov-1993,23.9,-3.9,-4,19.4285750543877,-10.1,13.5717208048953,2,,NR,NaN,NaN,NaN,NaN,finger,"ext",30,30,,index abduction & thumb adduction,5
L,Post,l16002,,23-Nov-1993,24.07,-3.9,-4,19.308366901586,-10.1,13.4515126520936,1,,NR,NaN,NaN,NaN,NaN,NR,"",30,30,,NT,nan
L,Post,l16002,,23-Nov-1993,24.07,-3.9,-4,19.308366901586,-10.1,13.4515126520936,2,,STRI,7,320,NaN,NaN,NR,"",30,30,,NT,nan
L,Post,l16101,,25-Nov-1993,23.07,-4.9,-3,19.308366901586,-11.1,14.8657262144667,1,,PED,2,260,NaN,NaN,finger / wrist,"thumb manipulation, wrist/finger ext",30,30,Ped,finger flex,18
L,Post,l16102,,25-Nov-1993,23.36,-4.9,-3,19.1033059350419,-11.1,14.6606652479226,1,,NR,NaN,NaN,NaN,NaN,finger,"flex",22,21,,finger adduction,17
L,Post,l16102,,25-Nov-1993,23.36,-4.9,-3,19.1033059350419,-11.1,14.6606652479226,2,,NR,NaN,NaN,NaN,NaN,NT,"",22,21,,finger adduction,17
L,Post,l16103,,25-Nov-1993,22.88,-4.9,-3,19.4427171900114,-11.1,15.0000765028921,1,,NR,NaN,NaN,NaN,NaN,finger / wrist,"flex",25,22,,NT,nan
L,Post,l16201,,26-Nov-1993,22.95,-4.9,-3,19.3932197153284,-11.1,14.9505790282091,1,,STN,1.5,250,NaN,NaN,finger,"increase ff w/ finger release",30,30,STN,finger flex,18
L,Post,l16201,,26-Nov-1993,22.95,-4.9,-3,19.3932197153284,-11.1,14.9505790282091,2,,NR,NaN,NaN,NaN,NaN,finger / wrist,"flex",30,30,,finger flex,18
L,Post,l16301,l16301b,29-Nov-1993,23,-3,-4.9,20.7013672605235,-9.2,13.5717208048953,1,1,STRI,5,330,NaN,NaN,NR,"",30,30,Str,NR,nan
L,Post,l16301b,,29-Nov-1993,23,-3,-4.9,20.7013672605235,-9.2,13.5717208048953,2,,NR,NaN,NaN,NaN,NaN,finger,"unclear detail",30,30,,NR,nan
L,Post,l16302,,29-Nov-1993,23.4,-3,-4.9,20.4185245480489,-9.2,13.2888780924207,1,,NR,NaN,NaN,NaN,NaN,NR,"",30,30,,NR,nan
L,Post,l16302,,29-Nov-1993,23.4,-3,-4.9,20.4185245480489,-9.2,13.2888780924207,2,,STRI,10,550,NaN,NaN,NT,"",30,30,Str,NR,nan
L,Post,l16401,,30-Nov-1993,23.4,-4.9,-3,19.0750216637944,-11.1,14.6323809766751,1,,PED,1.5,630,NaN,NaN,hand,"deep stim of palm",30,30,Ped,finger ext,18
L,Post,l16401,,30-Nov-1993,23.4,-4.9,-3,19.0750216637944,-11.1,14.6323809766751,2,,NR,NaN,NaN,NaN,NaN,NR,"",30,30,,finger ext,18
L,Post,l16402,,30-Nov-1993,23.6,-4.9,-3,18.9336003075571,-11.1,14.4909596204378,1,,STN,0.8,180,NaN,NaN,finger / wrist,"ext",30,30,STN,finger ext,18
L,Post,l16403,,30-Nov-1993,26.4,-4.9,-3,16.9537013202348,-11.1,12.5110606331155,1,,PED,NaN,200,NaN,NaN,finger / wrist / elbow,"finger flex, wrist ext, elbow ext",30,31,Ped,NR,nan
L,Post,l16501,,01-Dec-1993,25,-4.9,-3,17.943650813896,-11.1,13.5010101267767,1,,STRI,9,450,NaN,NaN,NR,"",20,20,Str,finger flex,15
L,Post,l16501,,01-Dec-1993,25,-4.9,-3,17.943650813896,-11.1,13.5010101267767,2,,NR,NaN,NaN,NaN,NaN,NT,"",20,20,,finger flex,15
